,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
OXY,Oxycoin,DPoS,TRUE,DPoS,1122382283,0
Z2,Z2 Coin,SHA-256,FALSE,PoW,,11000000
KAPU,Kapu,DPoS,TRUE,DPoS,,115000000
GRFT,Graft Blockchain,CryptoNight,TRUE,PoW/PoS,,1844674400
MNZ,Monaize,Equihash,TRUE,PoW/DPoW,,257142857
AVE,Avesta,Avesta hash,FALSE,PoW,,200000000
XSB,Extreme Sportsbook,X11,FALSE,PoS,,3000000
SCRM,Scorum,DPoS,TRUE,DPoS,,20000000
LWF,Local World Forwarders,DPoS,TRUE,DPoS,,100000000
ILT,iOlite,Ethash,TRUE,PoW,0,1000000000
ADM,Adamant,DPoS,TRUE,DPoS,,200000000
UPX,uPlexa,CryptoNight,TRUE,PoW,,10500000000
TCH,TigerCash,SHA-256,TRUE,PoS,1000000000,1000000000
LAX,LAPO,Lyra2Z,FALSE,PoW/PoS,11086825523,1.00E+11
TIP,Tip Blockchain,DPoS,TRUE,PoS,,1000000000
DTEP,DECOIN,X11,TRUE,PoS,,140000000
WAVES,Waves,Leased POS,TRUE,LPoS,100000000,100000000
PART,Particl,PoS,TRUE,PoS,9283137.556,8634140
SLX,Slate,Slatechain,TRUE,PoW,,950000000
SHARD,ShardCoin,Scrypt,FALSE,PoS,24924986.09,900000000
BTT,BitTorrent,TRC10,TRUE,DPoS,9.90E+11,9.90E+11
CHI,XAYA,NeoScrypt,TRUE,PoW,,77303932
ZILLA,ChainZilla,Equihash,FALSE,DPoW,11000068.27,11000000
NXT,Nxt,PoS,TRUE,PoS/LPoS,1000000000,1000000000
ZEPH,ZEPHYR,SHA-256,TRUE,DPoS,1999999995,2000000000
XQN,Quotient,Scrypt,TRUE,PoW/PoS,,0
NETC,NetworkCoin,X13,TRUE,PoW/PoS,,400000
VPRC,VapersCoin,Scrypt,TRUE,PoW,,42750000000
GAP,Gapcoin,Scrypt,TRUE,PoW/PoS,14931046.15,250000000
SERO,Super Zero,Ethash,TRUE,PoW,,1000000000
UOS,UOS,SHA-256,TRUE,DPoI,,1000000000
BDX,Beldex,CryptoNight,TRUE,PoW,980222595,1400222610
ZEN,Horizen,Equihash,TRUE,PoW,7296537.5,21000000
XBC,BitcoinPlus,Scrypt,TRUE,PoS,128326.9963,1000000
DVTC,DivotyCoin,Scrypt,FALSE,PoW/PoS,21491213.46,100000000
GIOT,Giotto Coin,Scrypt,FALSE,PoW/PoS,,233100000
OPSC,OpenSourceCoin,SHA-256,FALSE,PoW/PoS,,21000000
PUNK,SteamPunk,PoS,FALSE,PoS,,40000000
